id,date,season,location,availablecompounds,comment,nolaps,nolapsplanned,tracklength
80,2018-03-25,2018,Melbourne,"A4,A5,A6,I,W",,58,58,5303.0
81,2018-04-08,2018,Sakhir,"A3,A4,A5,I,W",,57,57,5412.0
82,2018-04-15,2018,Shanghai,"A3,A4,A6,I,W",,56,56,5451.0
83,2018-04-29,2018,Baku,"A4,A5,A6,I,W",,51,51,6003.0
84,2018-05-13,2018,Catalunya,"A3,A4,A5,I,W",,66,66,4655.0
85,2018-05-27,2018,MonteCarlo,"A5,A6,A7,I,W",,78,78,3337.0
86,2018-06-10,2018,Montreal,"A5,A6,A7,I,W",,68,70,4361.0
87,2018-06-24,2018,LeCastellet,"A4,A5,A6,I,W",,53,53,5842.0
88,2018-07-01,2018,Spielberg,"A4,A5,A6,I,W",,71,71,4318.0
89,2018-07-08,2018,Silverstone,"A2,A3,A4,I,W",,52,52,5891.0
90,2018-07-22,2018,Hockenheim,"A3,A4,A6,I,W","Wet race",67,67,4574.0
91,2018-07-29,2018,Budapest,"A3,A4,A6,I,W",,70,70,4381.0
92,2018-08-26,2018,Spa,"A3,A4,A5,I,W","SC through pit lane",44,44,7004.0
93,2018-09-02,2018,Monza,"A3,A4,A5,I,W",,53,53,5793.0
94,2018-09-16,2018,Singapore,"A4,A6,A7,I,W",,61,61,5063.0
95,2018-09-30,2018,Sochi,"A4,A6,A7,I,W",,53,53,5848.0
96,2018-10-07,2018,Suzuka,"A3,A4,A5,I,W",,53,53,5807.0
97,2018-10-21,2018,Austin,"A4,A5,A6,I,W",,56,56,5513.0
98,2018-10-28,2018,MexicoCity,"A5,A6,A7,I,W",,71,71,4304.0
99,2018-11-11,2018,SaoPaulo,"A3,A4,A5,I,W",,71,71,4309.0
100,2018-11-25,2018,YasMarina,"A5,A6,A7,I,W",,55,55,5554.0
101,2019-03-17,2019,Melbourne,"A3,A4,A6,I,W",,58,58,5303.0
102,2019-03-31,2019,Sakhir,"A2,A3,A4,I,W","Race finished behind SC",57,57,5412.0
103,2019-04-14,2019,Shanghai,"A3,A4,A6,I,W",,56,56,5451.0
104,2019-04-28,2019,Baku,"A3,A4,A6,I,W",,51,51,6003.0
105,2019-05-12,2019,Catalunya,"A2,A3,A4,I,W",,66,66,4655.0
